100.0|019FA033-0230-78C5-8BAD-3373DCEEAB4F|NULL|The operation took eleven minutes.|Sets a clipped, clinical pace that signals the coming scene will be procedural and tense rather than reflective.|An operation takes eleven minutes.
8300.0|019FA033-0235-7CD9-A284-5BE66DE692A8|NULL|He had refused a follow-on operational order. <NL>  <NL> It came seventy-two hours after the Cortland Engagement — from the same chain, on the same letterhead, in the same flat sans-serif Halcyon used for everything from a supply chit to a kill authorizati|Reveals the specific act of defiance behind the charge, framing it as a deliberate refusal shaped by institutional bad faith.|Bear recalls refusing follow-on operational order for warehouse clearance seventy-two hours after Cortland Engagement.
8400.0|019FA033-0235-765F-838D-159DF8DFA754|NULL|He hadn't been given a full intelligence packet. So he built one. That was the part the charge couldn't survive contact with, which was why the charge never came near it.|Establishes that Bear compensated for withheld intelligence by investigating independently, undermining the charge's premise.|Bear built full intelligence packet on his own, creating evidence the charge cannot withstand.
8500.0|019FA033-0235-77BD-9FAD-A7A0FE1B6B82|NULL|He looked at the address first. Then the district — the same square kilometer of cratered ferrocement and standing water where, three days earlier, an operation he had run had left forty-three enemy combatants dead. He let that number sit where it always s|Reveals the damning discovery that ties the new operation to civilian dependents, justifying Bear's refusal as a moral stand.|Bear identifies warehouse address as humanitarian staging facility for families displaced by his own operation that killed forty-three combatants.
8600.0|019FA033-0236-7F0E-A8BB-0151DF678CA0|NULL|So he laid the three things side by side. The manifest entry. The address on the order. The seventy-two-hour window. They agreed. A warehouse clearance, three days after a security action, at the one address in the sector where the people displaced by that|Establishes the concrete, damning logic behind Bear's refusal, grounding his defiance in verifiable fact rather than sentiment.|Bear compares manifest entry, order address, and seventy-two-hour window; they align, revealing warehouse clearance at displacement shelter location.
8700.0|019FA033-0236-7586-A63C-DBBBF75059AA|NULL|He declined. He was right about the warehouse. That was not entered into the record. The record had no field for it.|Reveals the story's central injustice: moral correctness has no bureaucratic mechanism to matter.|Bear declines to enter warehouse information into official record.
8800.0|019FA033-0236-7824-A901-1DBAC968B7CB|NULL|The court-martial room was a prefab bolted to the Meridian annex, the kind of building that arrives on a flatbed and gets leveled with shims. Six fluorescent panels in the ceiling, two of them a half-shade colder than the rest, so the long board table sat |Sets the physical and institutional smallness of the tribunal to underscore the mismatch between Bear's stakes and the system's indifference.|No new event - scene setting of court-martial room and Bear's physical positioning.
8900.0|019FA033-0236-76DC-996A-39ACCCAB0F85|NULL|The board reviewed the charge for four hours. Bear told them what he'd been ordered to do, what he'd refused, and why. He was precise, because precision was the only respect the proceeding had earned, and because the facts were heavy enough to carry themse|Establishes Bear's integrity by showing his restraint under scrutiny, letting facts rather than performance carry his defense.|Board reviews charge for four hours; Bear testifies precisely about his order refusal and reasons.
9000.0|019FA033-0236-7224-8E8E-FD4689E9300A|NULL|In the second hour, the senior board member set down a stylus, folded his hands, and asks whether there was any additional context Bear believed relevant to his decision.|Introduces a pivotal, seemingly benign invitation that will force Bear's next crucial choice.|Senior board member invites Bear to provide additional relevant context for his decision.
9100.0|019FA033-0236-7650-8F8E-963813E05425|NULL|It was a courtesy. It was also a door held open over a drop, and Bear saw both at once. <NL>  <NL> The manifest entry was classified — the building's designation, the Compact protocols, the word dependents and everything wrapped around it, all of it behind|Reveals the hidden trap in the board's courtesy, escalating tension by exposing the impossible bind between self-defense and betrayal of classified truth.|No new event - Bear's internal recognition of the trap: classified manifest is his only defense but naming it creates prosecutable security breach.
9200.0|019FA033-0236-7203-A9F0-A908902A558D|NULL|He said no.|Delivers Bear's decisive turn, refusing the bait even at his own expense.|Bear declines to provide additional context.
9300.0|019FA033-0236-79CA-8B91-BC2436AB89F2|NULL|Not an argument. Not a protest. He didn't raise his voice, and he didn't drop it into anything grave. He just declined the door, the way he'd declined the order — the flat, complete no of a man who has already decided, in private, in advance, what he will |Reinforces Bear's core character—a man acting from settled conviction rather than in-the-moment persuasion or emotion.|No new event - Bear's refusal characterized as flat, predetermined decision rather than negotiation.
9400.0|019FA033-0236-71D7-847C-91C2358C2324|NULL|He stated his refusal and his reason, and he kept the reason inside the only frame he was allowed: operational judgment. Two words. Grounds for a reprimand under standard terms. Grounds for a court-martial under the enhanced operational classifications thi|Exposes the arbitrary machinery of military justice, showing how classification and framing—not truth—determine his fate.|Bear states refusal grounded only in operational judgment, keeping classified facts concealed.
9500.0|019FA033-0236-7EA3-9096-460C37F0DDE2|NULL|He didn't expect to win on the merits, because the merits weren't in the room. The thing they depended on was behind a stamp, and he had just chosen to leave it there.|Closes the beat by affirming Bear's clear-eyed acceptance that he is sacrificing his defense to protect something greater than himself.|No new event - Bear recognizes merits depend on classified information he has chosen not to disclose.
9600.0|019FA033-0236-7A10-8F28-370752EB5145|NULL|He didn't win on the merits.|A blunt verdict undercuts any expectation of vindication, framing Bear's exit as survival rather than justice.|No new event - thematic statement only.
9700.0|019FA033-0236-776D-9E2D-6C497B1DDC4C|NULL|He walked off the base at 1430 on a Tuesday, through a gate where the guard looked at his face and then, on purpose, at the middle distance. <NL>  <NL> He kept the augmentation — the frame, the array, all of it bought against his own salary advance, his pe|Establishes Bear's quiet departure and reframes his augmentation as hard-won personal property, giving him a foothold of dignity amid disgrace.|Bear exits military base at 1430 Tuesday with purchased augmentation, owing nothing on it.
9800.0|019FA033-0236-7B41-9DD8-6B4041748472|NULL|They didn't come after him. He thought he understood why, and the understanding gave him no warmth. He'd been right about the warehouse. He'd been asked to say so on the record, and he'd refused. An institution that needed a thing kept quiet had reached th|Reveals the institution's cynical calculus behind letting him go free, deepening the story's portrait of complicity without confirming Bear's suspicions outright.|Bear realizes Halcyon let him leave because his silence is more valuable than his imprisonment.
9900.0|019FA033-0236-7D54-9C8C-198A78EF764A|NULL|He walked off the base at 1430 on a Tuesday. The gate guard looked at his face and then, on purpose, at the middle distance. That deliberate look-away cost the guard something — Bear could see it cost him, the small held stillness of a young man who had de|Highlights a small act of mercy from a stranger, showing Bear recognizing but refusing to acknowledge kindness to protect them both.|Gate guard deliberately avoids witnessing Bear's departure; Bear accepts the gift without acknowledgment.
10000.0|019FA033-0236-766F-A9EC-39D1EC6A3408|NULL|Three months later he sat across a desk from a fiduciary in a beige office in the Meridian transit district. The office had the smell of a place used only for transactions — a neutral cleanliness that didn't know who had sat in its chairs before him, or wh|Introduces a new setting and character who will test whether Bear's secretive purpose can survive professional scrutiny.|Three months later, Bear meets fiduciary Seo Jisun to establish trusts for undocumented beneficiaries.
10100.0|019FA033-0236-7EDA-8EC5-DD4F036A939E|NULL|"You're opening trusts for beneficiaries you have no documented relation to," she said. <NL>  <NL> "Yes." <NL>  <NL> "And you're signing your legal name." <NL>  <NL> "Yes." <NL>  <NL> She set the pen down. Not to stop — to look at him directly, which he ap|Establishes the tension between Bear's opaque intentions and Jisun's professional need to understand, setting up her choice to trust him.|Jisun confronts Bear about opening trusts under his legal name for people he has no documented relation to.
10200.0|019FA033-0236-7B5F-AA8C-979141C3CACC|NULL|"The oldest beneficiary is eleven," she said. <NL>  <NL> "You want the trust to pass to her at majority?" <NL>  <NL> "Twelve," Bear said. <NL>  <NL> "Twelve is old enough?" <NL>  <NL> She looked at him a moment longer. He held it, with his whole chest, no |Reveals the stakes and age of the beneficiaries, deepening the mystery of what debt Bear is trying to repay.|Jisun learns oldest beneficiary is eleven; Bear specifies trusts pass to them at age twelve.
10300.0|019FA033-0236-77DF-BAA6-8D3141BE83B3|NULL|She didn't ask what this was for. He respected her for that. The work was its own answer, and she'd read it right. <NL>  <NL> She pulled the first document over, checked the beneficiary details, and began moving through the pages efficiently — a profession|Marks Jisun's decision to proceed without demanding explanation, cementing her as a witness who chooses discretion over interrogation.|Jisun processes the trust documents without asking questions; Bear feels his burden gain direction toward sixteen beneficiaries.
10400.0|019FA033-0237-76A9-876D-34EF7B0C86FC|NULL|"The trust for this one" — she tapped the third page — "lists no known next of kin." <NL>  <NL> "There isn't one." <NL>  <NL> "If there's no living claimant, the balance reverts to the estate." <NL>  <NL> "I'd like it to go to a civil victims' endowment in|Confirms Bear's guilt is tied to real deaths, revealing the trusts as reparations for lives he feels responsible for ending.|Jisun notes one trust has no next of kin; Bear directs that balance to a civil victims' endowment instead.
10500.0|019FA033-0237-7D9E-A137-47757AE27410|NULL|She finished the paperwork and slid the stack across. He signed his real name on every page. It was the kind of paperwork a smarter fugitive would have refused to sign, and he wasn't a smarter fugitive. <NL>  <NL> He was a man who had decided what he owed |Pays off Bear's arc of taking ownership by having him sign openly, showing he seeks accountability rather than concealment.|Bear signs his real name on all trust paperwork, refusing to hide the debt he has decided to pay.
10600.0|019FA033-0237-7110-A736-60F8DA2A9F3C|NULL|When the last page was signed she gathered them into a folder and stood, and he stood, and for a moment they were the same height, which surprised her a little, because standing he wasn't the same height as anything else in the office.|A small physical detail signals unexpected parity between the two characters, hinting at hidden dimensions beneath his diminished presentation.|Woman and man stand after signing documents; they are briefly the same height.
10700.0|019FA033-0237-7017-9BB1-03B415BF87BB|NULL|"Take care of yourself," he told her. <NL>  <NL> He meant it. She'd done a clean job, asked the right questions and the right non-questions, and given him a few seconds of being seen by someone who wouldn't remember him next month and had chosen to look an|His genuine parting words establish the counselor's professional compassion as something rare and real, rewarding her quiet competence.|Man tells woman to take care of herself, meaning it sincerely.
10800.0|019FA033-0237-71E4-A504-A0AB5EA3E405|NULL|He ran the first transfer on the twenty-first of the following month. <NL>  <NL> Sixteen confirmations came back, sixteen green ticks, and they landed the way the first breath lands after you've held one too long — not relief, nothing so large. Just the pr|The first successful transfer confirms Bear's mysterious financial commitment is now underway, marking a resolution's quiet, anticlimactic beginning.|Man executes first transfer on the twenty-first; sixteen confirmations return green.
10900.0|019FA033-0237-7BDF-B46B-DA0E5EEB449C|NULL|He'd been paying ever since.|A terse time-jump establishes the payments as an ongoing, defining fact of his life rather than a one-time act.|Man has continued paying transfers since then.
